frame,definition,example
f:Getting_underway,A <em>Self mover</em> begins the motion away from a relatively deprofiled <em>Source</em> location. The focus is on the motion rather than on the location that is being departed. The label <em>Self mover</em> here also includes vehicles that are steered by an intentional agent.,"<p class='list-group-item'>After a lunch of sandwiches on paper plates ,  we  <span id='phrase_example'>get</span> <span id='phrase_example'>under</span> <span id='phrase_example'>way</span>.</p><p class='list-group-item'>When  I  <span id='phrase_example'>got</span> <span id='phrase_example'>going</span>  for the day  I had horrible pain down my buttocks and leg.</p><p class='list-group-item'> We  <span id='phrase_example'>got</span> <span id='phrase_example'>going</span>  via Tikul  and after a light lunch finally found the pottery place recommended in the guide,</p><p class='list-group-item'>I'll make this brief, as  I  need to <span id='phrase_example'>head</span> <span id='phrase_example'>out</span>  for the bookstore   in a bit .</p><p class='list-group-item'> The band Killers  is <span id='phrase_example'>heading</span> <span id='phrase_example'>out</span>  on 25-date tour through Europe and Japan   this week .</p>"
f:Have_as_translation_equivalent,A  <em>Source symbol</em> in a <em>Source representation</em> system is presented to be matched by a <em>Target symbol</em> in a <em>Target representation</em> in the ability to express a particular <em>Content</em>.,"<p class='list-group-item'>A palintonon or palintone  <span id='phrase_example'>translates</span>  as V-spring  and euthytonon or euthytone</p><p class='list-group-item'>translates as straight-spring  from Greek .</p><p class='list-group-item'>It can be confusing if  one word  <span id='phrase_example'>translates</span>  into several   in Spanish ,  which don't have the same gender .</p><p class='list-group-item'>Therefore,  this word  <span id='phrase_example'>translates</span>  as a male .</p><p class='list-group-item'> Perak  <span id='phrase_example'>translates</span>  as silver   in the Malay language .</p><p class='list-group-item'>Sentences such as the following are actually to be handled in the Be_translation_equivalent frame, which has the reverse point of view from the current frame.</p><p class='list-group-item'>We have just seen how each Bible program makes it easy to get a definition of  the Greek or Hebrew word   which   a given English word  <span id='phrase_example'>translates</span>.</p>"
f:Secrecy_status,"A <em>Phenomenon</em>, which may be an activity, state or object, is purposefully hidden from the awareness of a potential <em>Cognizer</em>. The person responsible for the hiding of the <em>Phenomenon</em> is not part of this frame and cannot be syntactically realized. The potential <em>Cognizer</em> may be realized, but is in fact rarely expressed. A period of <em>Time</em> during which the <em>Phenomenon</em> is secret may be indicated.","<p class='list-group-item'>Few people would use ATMs if  the content of their transaction  was <span id='phrase_example'>secret</span>  from their bank  and there was no paper trail verifying the transaction. .</p><p class='list-group-item'>The protesters were not on her list, and weren't allowed in, despite the fact that  the meeting  was <span id='phrase_example'>public</span>.</p><p class='list-group-item'> Student disciplinary matters  are <span id='phrase_example'>confidential</span> and should only be discussed with appropriate university officials</p>"
f:Attention_getting,"This frame covers terms used to get someone's attention, including <em>Interjection</em>s (e.g. hey, yo) and certain terms of address (<em>Address term</em>), the latter of which may serve the function of attention getting.",<p class='list-group-item'><span id='phrase_example'>Hey</span> .</p>
f:Strictness,"These adjectives describe the degree of strictness or tolerance of an <em>Agent</em>, usually with regard to another person (the <em>Controllee</em>) and often with regard to a particular <em>Issue</em>. 
The strictness/lenience with respect to the <em>Issue</em> may be manifested in (expressed by) an <em>Agent</em> or by some <em>Medium</em> (e.g., laws), or by some behavior of the <em>Agent</em>, i.e., the <em>Controlling act</em>.",<p class='list-group-item'>Court says  judge   too  <span id='phrase_example'>lenient</span>  in rape case .  </p><p class='list-group-item'> Sonny  was <span id='phrase_example'>indulgent</span>  of her admirers  and allowed their attention for a time before she disappeared into the small back room.</p><p class='list-group-item'> Some laws  are just  too  <span id='phrase_example'>strict</span>.</p><p class='list-group-item'>Don't be <span id='phrase_example'>strict</span>  about cross-posting .</p>
f:Size,The size of an <em>Entity</em> is assessed in terms of the <em>Degree</em> by which it deviates from the norm. The size refers to the amount of three-dimensional space that is occupied by the <em>Entity</em>.,<p class='list-group-item'>I own a  very  <span id='phrase_example'>small</span>  home .</p><p class='list-group-item'>Where is my <span id='phrase_example'>little</span>  notebook ?</p><p class='list-group-item'> That dog  is <span id='phrase_example'>huge</span>!</p>
f:Being_dry,An <em>Item</em> is in a state of dryness.,<p class='list-group-item'>The shingles   are <span id='phrase_example'>dry</span>. </p><p class='list-group-item'> The apple  is  completely  <span id='phrase_example'>dehydrated</span>.</p><p class='list-group-item'><fex name = Item >The mop  is <span id='phrase_example'>dry</span>.</p>
f:Public_services,This frame concerns permanent organizations (the <em>Institution</em>s) that are intended to help members of the <em>Target group</em> in a particular <em>Domain</em> with a <em>Service action</em>.  Most or all relevant members of the <em>Target group</em> have a direct relationship with the <em>Institution</em>.,"<p class='list-group-item'>The Red Cross Tracing and Message Service  is a <span id='phrase_example'>service</span>  for finding and reuniting families separated by war and disaster .</p><p class='list-group-item'>First and foremost,  Radio-Canada  is a  public  <span id='phrase_example'>service</span>. </p><p class='list-group-item'>The  California   Child Protective  <span id='phrase_example'> Service </span> investigated the family based on a complaint filed by the son's former principal.</p>"
f:Just_found_out,"An <em>Experiencer</em>, <em>Expressor</em>, or <em>State</em> can be described as having a surprised emotion as evoked by a <em>Stimulus</em> or concerning a <em>Topic</em>.",<p class='list-group-item'>I  was  more  <span id='phrase_example'>shocked</span>  about the child   than she was .</p><p class='list-group-item'> Mrs Nowak  was <span id='phrase_example'>surprised</span>  by the amount of money Mills left her .</p><p class='list-group-item'>I think the <span id='phrase_example'>shock</span>  of that recognition  drove me a little crazy.</p>
f:Accuracy,"An <em>Agent</em> is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time).  
The <em>Agent</em>, or metonymically the <em>Instrument</em> or <em>Means</em> action, is described in terms of the actual or expected <em>Deviation</em> between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event.",<p class='list-group-item'>The Longview Rangefinder  is <span id='phrase_example'>accurate</span>  to within one foot per hundred yards  .</p><p class='list-group-item'> His estimate  was <span id='phrase_example'>off</span>  by an order of magnitude  .</p><p class='list-group-item'> The fork truck operator  must be  fairly  <span id='phrase_example'>accurate</span>  in his aim .</p><p class='list-group-item'>The <span id='phrase_example'>precision</span>  of the daily measurements  is dependent on a number of factors.</p>
f:Aesthetics,An <em>Entity</em> is judged to be sensually pleasing or intellectually interesting to a (generally implicit) <em>Judge</em>.,<p class='list-group-item'>. We saw this <span id='phrase_example'>beautiful</span>  boat  with the red sails several times</p><p class='list-group-item'>We camped here on the beach and had an  absolutely  <span id='phrase_example'>lovely</span>  early morning walk through farm fields</p>
f:Judicial_body,"A  <em>Source of authority</em>, typically a government, relies upon a set of institutions specialized for the administration of justice. These <em>Judicial body</em> s hear cases  that originate within their <em>Jurisdiction</em> and relate  to the <em>Task</em> given to them by the <em>Source of authority</em>. Often, a <em>Judicial body</em> is part of a larger system  within which its <em>Rank</em> can be specified. The <em>Judicial body</em> is typically located in a specific location, the <em>Seat</em>.","<p class='list-group-item'>The  federal   <span id='phrase_example'>judiciary</span> 's certification process is the foundation of the interpreter program.      </p><p class='list-group-item'>The city files an appeal with  the state's   Eastern District   <span id='phrase_example'>Court</span>   of Appeals .</p><p class='list-group-item'>The case, tried in the  US   District   <span id='phrase_example'>Court</span>   in Boston , involved technical and financial issues regarding the feasibility of the project.   </p><p class='list-group-item'>On Oct. 31, the  Alaska   State   Superior   <span id='phrase_example'>Court</span>  granted Chugach Electric Association's Oct. 3 request to dissolve the stay.</p>"
